name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Beijing,2020-06-01,32,11,20.9,30.2,11,20.4,11.2,60.7,2,100,4.17,rain,0,0,64.8,39.6,224.3,1004.6,17.5,11.3,324.1,28.1,10,,2020-06-01T04:48:03,2020-06-01T19:36:58,0.38,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"ZBAA,54511099999"
Beijing,2020-06-02,33,15.9,24.5,32,15.9,24.1,12.4,52.2,0,0,0,,0,0,57.6,21.8,188.9,1000.2,0.3,11.2,347.5,30,10,,2020-06-02T04:47:39,2020-06-02T19:37:40,0.43,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2020-06-03,37,17,27,34.3,17,25.9,8.7,41,0,0,0,,0,0,61.2,43.2,321.1,997.5,1,9.8,348,30,10,,2020-06-03T04:47:17,2020-06-03T19:38:20,0.46,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2020-06-04,32,16,25.2,30,16,24.7,7.2,33.6,0,0,0,,0,0,39.6,21.6,61.3,1002.9,12.2,12.4,340.1,29.4,10,,2020-06-04T04:46:57,2020-06-04T19:39:00,0.49,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2020-06-05,30,17,24.5,28.8,17,24.1,11.1,45.1,0,0,0,,0,0,32.4,18,137.2,1007.8,22.6,12.5,334.4,28.9,10,,2020-06-05T04:46:39,2020-06-05T19:39:38,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-06-06,31,15,24,30.3,15,23.7,11.9,50,0,0,0,,0,0,28.8,18,124.9,1007.2,19.3,11.7,329.2,28.3,9,,2020-06-06T04:46:23,2020-06-06T19:40:15,0.51,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
Beijing,2020-06-07,36,17,27.1,36.8,17,27.4,14.6,48.5,0,0,0,,0,0,25.2,14.4,135.6,1004.4,54.4,11.4,296.5,25.7,9,,2020-06-07T04:46:09,2020-06-07T19:40:50,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-06-08,38,21,30.4,36.1,21,29.5,13.6,42.5,0,0,0,,0,0,48.7,32.4,195.2,1006,52.6,9.8,217.5,18.8,7,,2020-06-08T04:45:57,2020-06-08T19:41:25,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-06-09,28,23,25.8,29.2,23,26.1,16.9,58.4,0,0,0,,0,0,43.2,18,106.5,1009.7,95.3,10.4,169.4,14.8,6,,2020-06-09T04:45:46,2020-06-09T19:41:57,0.58,Overcast,Cloudy skies throughout the day.,cloudy,"ZBAA,54511099999"
Beijing,2020-06-10,33.8,20.8,26.4,33.2,20.8,26.3,16.9,59.8,7,100,4.17,rain,0,0,25.2,16.3,171.6,1005.7,24.5,8.2,296.4,25.5,9,,2020-06-10T04:45:38,2020-06-10T19:42:28,0.63,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"ZBAA,54511099999"
Beijing,2020-06-11,30.3,20,25,31.9,20,25.3,16.9,62.9,0,0,0,,0,0,32.4,25.2,38.3,1004.8,68.7,9.3,159.7,13.7,5,,2020-06-11T04:45:32,2020-06-11T19:42:58,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
Beijing,2020-06-12,34,21,27.4,33.3,21,27.3,15.5,50.8,0,0,0,,0,0,32.4,18,165.7,1001.9,77.7,11.2,226.2,19.7,8,,2020-06-12T04:45:27,2020-06-12T19:43:26,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
